num,norm_time,div_time,dup_time,opt_time,data_size,norm_attacker_time,norm_h3_time,norm_h4_time,norm_h5_time,norm_h6_time,norm_h7_time,norm_h8_time,norm_h9_time,norm_h10_time,div_attacker_time,div_h3_time,div_h4_time,div_h5_time,div_h6_time,div_h7_time,div_h8_time,div_h9_time,div_h10_time,dup_attacker_time,dup_h3_time,dup_h4_time,dup_h5_time,dup_h6_time,dup_h7_time,dup_h8_time,dup_h9_time,dup_h10_time,opt_attacker_time,opt_h3_time,opt_h4_time,opt_h5_time,opt_h6_time,opt_h7_time,opt_h8_time,opt_h9_time,opt_h10_time
52,44.8286521435,46.5197191238,46.6589479446,40.8342618942,60000,42.224,43.966,44.200,42.631,42.498,33.964,39.623,44.191,28.320,29.258,46.037,42.669,40.863,45.406,44.651,44.663,41.856,38.989,38.759,44.968,43.487,46.123,32.773,42.368,45.028,46.021,41.619,13.887,36.827,37.818,35.557,38.455,39.073,40.333,36.864,36.818
53,42.912446022,48.181303978,49.8285908699,33.2247879505,60000,41.143,30.453,34.299,41.587,41.875,39.892,42.449,30.926,39.668,27.194,44.916,45.023,47.034,47.619,39.714,46.463,46.036,46.312,41.421,45.422,49.283,47.316,40.901,47.587,49.320,47.887,42.890,14.376,30.707,32.426,28.380,31.594,31.406,31.268,32.729,30.583
54,44.3899970055,45.4472959042,47.9658539295,40.3504078388,60000,42.681,35.310,36.743,42.801,42.339,37.641,43.929,43.686,43.459,24.291,44.800,44.437,42.239,35.679,44.992,42.250,40.610,42.348,40.290,45.781,46.886,36.291,39.656,45.294,43.375,47.508,47.089,13.648,39.741,37.047,37.879,39.290,39.561,35.483,31.471,39.724
55,45.7635061741,49.4307250977,46.2226600647,43.2223050594,60000,42.495,28.917,44.941,36.704,33.418,44.920,41.760,44.565,45.197,26.992,48.288,42.382,40.510,48.540,48.394,48.851,48.650,48.861,41.244,38.857,44.234,40.057,45.292,45.756,38.673,44.234,43.023,14.874,40.571,41.581,29.739,39.540,42.640,37.399,40.466,42.359
56,45.8701190948,49.6140480042,52.2308371067,45.4470329285,60000,31.286,43.350,44.870,44.268,41.863,45.121,45.272,33.334,37.577,30.246,48.712,48.648,42.086,48.858,49.046,47.727,46.536,41.784,49.383,51.647,43.819,48.505,51.173,41.363,49.180,42.893,51.159,13.918,44.962,44.123,35.984,44.174,32.912,43.591,41.952,43.395
57,49.7497160435,54.8155498505,50.424298048,47.8271570206,60000,49.240,44.464,47.487,47.569,43.523,47.855,43.099,32.703,38.077,28.946,53.525,52.650,43.399,49.290,50.017,54.198,53.271,50.105,46.985,40.539,49.942,43.312,42.012,48.920,49.333,47.907,49.296,16.307,45.276,47.216,41.688,43.888,45.211,47.124,44.836,44.707
58,51.9730489254,49.0490739346,51.3736310005,48.2189850807,60000,51.478,36.475,43.063,49.743,41.777,47.861,51.176,51.472,47.999,27.375,48.000,43.120,43.565,48.352,47.945,48.404,44.975,48.354,48.273,44.491,51.005,48.700,50.716,50.662,46.563,44.940,36.827,16.044,46.173,47.783,40.615,45.941,46.191,47.203,41.216,42.834
59,49.1807539463,50.6966640949,49.3952460289,47.9971108437,60000,45.800,46.292,40.671,41.910,48.681,38.051,47.853,44.416,43.050,31.141,50.278,48.842,39.580,39.877,47.738,46.582,47.072,49.255,42.986,48.830,38.498,47.928,45.816,48.651,41.227,42.455,48.044,14.153,43.505,45.147,45.314,47.430,45.548,47.514,39.887,40.454
60,48.3243100643,49.7250320911,51.0931289196,47.5054261684,60000,47.789,34.193,45.081,47.403,43.509,39.932,45.746,41.243,44.325,25.888,47.824,47.905,49.188,39.246,46.935,47.292,48.892,40.082,47.455,49.596,40.721,50.536,49.986,49.537,41.547,50.007,45.308,16.772,45.250,47.024,44.901,40.024,44.451,42.766,37.099,45.278
61,50.2054541111,52.7337350845,52.0251801014,45.0304279327,60000,46.931,48.176,46.467,43.870,49.746,47.851,44.641,47.863,48.363,30.212,50.299,43.610,48.123,45.538,52.062,51.978,47.032,50.271,49.139,42.629,47.706,46.937,50.738,44.965,51.474,48.106,51.186,16.561,44.183,42.241,40.092,43.517,42.815,44.486,43.448,34.895
