------------------------------------------------------------
Server listening on TCP port 5001
TCP window size: 32.0 MByte (WARNING: requested 16.0 MByte)
------------------------------------------------------------
[  8] 37.0-38.0 sec   139 KBytes  1.14 Mbits/sec
[  5] 47.0-48.0 sec   161 KBytes  1.32 Mbits/sec
[  4] 48.0-49.0 sec   663 KBytes  5.43 Mbits/sec
[  6] 48.0-49.0 sec   153 KBytes  1.25 Mbits/sec
[  8] 38.0-39.0 sec   144 KBytes  1.18 Mbits/sec
[  5] 48.0-49.0 sec   164 KBytes  1.34 Mbits/sec
[  4] 49.0-50.0 sec   660 KBytes  5.41 Mbits/sec
[  6] 49.0-50.0 sec   158 KBytes  1.30 Mbits/sec
[  8] 39.0-40.0 sec   167 KBytes  1.37 Mbits/sec
[  5] 49.0-50.0 sec   164 KBytes  1.34 Mbits/sec
[  6] 50.0-51.0 sec  99.0 KBytes   811 Kbits/sec
[  4] 50.0-51.0 sec   779 KBytes  6.38 Mbits/sec
[  5] 50.0-51.0 sec   110 KBytes   904 Kbits/sec
[  8] 40.0-41.0 sec   156 KBytes  1.27 Mbits/sec
[  5] 51.0-52.0 sec  59.4 KBytes   487 Kbits/sec
[  6] 51.0-52.0 sec   124 KBytes  1.02 Mbits/sec
[  4] 51.0-52.0 sec   795 KBytes  6.51 Mbits/sec
[  8] 41.0-42.0 sec   150 KBytes  1.23 Mbits/sec
[  4] 52.0-53.0 sec   721 KBytes  5.91 Mbits/sec
[  6] 52.0-53.0 sec   161 KBytes  1.32 Mbits/sec
[  5] 52.0-53.0 sec   158 KBytes  1.30 Mbits/sec
[  8] 42.0-43.0 sec   189 KBytes  1.55 Mbits/sec
[  4] 53.0-54.0 sec   684 KBytes  5.61 Mbits/sec
[  6] 53.0-54.0 sec   156 KBytes  1.27 Mbits/sec
[  5] 53.0-54.0 sec   167 KBytes  1.37 Mbits/sec
[  8] 43.0-44.0 sec   192 KBytes  1.58 Mbits/sec
[  4] 54.0-55.0 sec   675 KBytes  5.53 Mbits/sec
[  6] 54.0-55.0 sec   158 KBytes  1.30 Mbits/sec
[  5] 54.0-55.0 sec   167 KBytes  1.37 Mbits/sec
[  4] 55.0-56.0 sec   703 KBytes  5.76 Mbits/sec
[  8] 44.0-45.0 sec   192 KBytes  1.58 Mbits/sec
[  6] 55.0-56.0 sec   170 KBytes  1.39 Mbits/sec
[  8] 45.0-46.0 sec   136 KBytes  1.11 Mbits/sec
[  5] 55.0-56.0 sec   167 KBytes  1.37 Mbits/sec
[  4] 56.0-57.0 sec   645 KBytes  5.28 Mbits/sec
[  6] 56.0-57.0 sec   158 KBytes  1.30 Mbits/sec
[  8] 46.0-47.0 sec   150 KBytes  1.23 Mbits/sec
[  5] 56.0-57.0 sec   167 KBytes  1.37 Mbits/sec
[  4] 57.0-58.0 sec   649 KBytes  5.32 Mbits/sec
[  6] 57.0-58.0 sec   161 KBytes  1.32 Mbits/sec
[  8] 47.0-48.0 sec   167 KBytes  1.37 Mbits/sec
[  5] 57.0-58.0 sec   170 KBytes  1.39 Mbits/sec
[  4] 58.0-59.0 sec   799 KBytes  6.54 Mbits/sec
[  6] 58.0-59.0 sec  84.8 KBytes   695 Kbits/sec
[  5] 58.0-59.0 sec  90.5 KBytes   741 Kbits/sec
[  8] 48.0-49.0 sec   144 KBytes  1.18 Mbits/sec
[  4] 59.0-60.0 sec   776 KBytes  6.36 Mbits/sec
[  5] 59.0-60.0 sec  79.2 KBytes   649 Kbits/sec
[  6] 59.0-60.0 sec   147 KBytes  1.20 Mbits/sec
[  8] 49.0-50.0 sec   178 KBytes  1.46 Mbits/sec
[  4] 60.0-61.0 sec   699 KBytes  5.72 Mbits/sec
[  6] 60.0-61.0 sec   161 KBytes  1.32 Mbits/sec
[  5] 60.0-61.0 sec   170 KBytes  1.39 Mbits/sec
